num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
6,1.8897472222222222,1.811,1.8850000000000002,1.9620000000000002,2.043,2.1593100000000005,0.006654109966890366,,,8.003862962962963,7.7707500000000005,7.9305,8.126000000000001,8.3698,10.096780000000003,0.0279887174240043,2252.9333333333334,8.633139139669673,0.018975261880807243,8
12,2.0135736111111107,1.895,2.0010000000000003,2.121,2.2421,2.4092299999999995,0.007054127817906979,5986.527777777777,43.39019892678999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
24,3.0583006944444446,2.897,3.0460000000000003,3.199,3.357,3.6452400000000016,0.006808835132971757,7879.044444444445,54.871197852637536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
48,6.009577546296296,5.549,5.8815,6.47725,6.796999999999999,7.262440000000002,0.011633052621812417,8046.461111111111,92.32939398500596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
96,12.060974305555556,11.138,11.868,12.823249999999998,13.805100000000001,15.274259999999995,0.018166927808994256,8033.555555555556,99.93143029336302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
144,18.13472114197531,17.312,18.090500000000002,18.893,19.522000000000002,20.96781,0.013783606152635347,7967.966666666666,56.162648328780726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
192,24.348960540069687,23.281,24.142,25.161,26.4041,29.472100000000005,0.016317186542474545,7529.833333333333,41.01634966157492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
240,30.40397644320298,28.482,29.512,31.043999999999997,32.523,41.45181999999999,0.07106618340415828,8042.858333333334,69.9691994719158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
6,1.9128953703703704,1.823,1.8960000000000001,1.9729999999999999,2.053,2.5462000000000007,0.011121491670737475,3148.7722222222224,21.665048488867207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
12,1.9110620370370373,1.807,1.904,2.0050000000000003,2.101,2.25941,0.005934675793973143,6297.794444444445,39.94413858537542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
24,2.9758115740740743,2.653,2.796,2.994,3.1620000000000004,5.291050000000002,0.17418451679346797,8458.677777777777,72.04438926095493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
48,4.832985300925925,4.606,4.804,5.036,5.264,5.654440000000003,0.006689187829467036,9965.172222222222,31.70442330689806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
96,9.424814004629631,9.008000000000001,9.376000000000001,9.774,10.152,11.045309999999994,0.009806509007907352,10225.4,46.73829432472749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
144,14.057889313271604,13.535,14.003,14.458000000000002,14.883000000000001,17.858240000000006,0.010637640350272613,10273.166666666666,42.99018173416964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
192,18.641831799768518,18.009999999999998,18.607,19.195,19.747,20.913,0.009476449077132668,10320.261111111111,47.16065556758059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
240,23.550542108938547,22.20575,22.897000000000002,23.719,24.721,43.898639999999986,0.031963204237077006,10161.316666666668,105.7315231765696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
6,1.9531296296296297,1.8767500000000001,1.941,2.0282500000000003,2.1069999999999998,2.2144200000000005,0.00657842460802039,3072.7833333333333,12.703878118810962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
12,1.9515819444444447,1.8519999999999999,1.9329999999999998,2.03325,2.1359999999999997,2.3019999999999996,0.0056572170765496884,6162.5,26.63218848290916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
24,2.828041898148148,2.638,2.775,2.989,3.177,3.4276200000000006,0.007157622798205994,8533.31111111111,20.06839407209434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
48,4.446933564814816,4.146000000000001,4.4145,4.702000000000001,4.956000000000001,5.48261,0.008354582350459598,10866.816666666668,38.15742610586055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
96,8.12364704861111,7.662000000000001,8.024999999999999,8.440000000000001,8.881,10.212889999999991,0.01240583489962818,11902.711111111112,56.32447790926633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
144,12.08480239197531,11.545,12.006499999999999,12.481000000000002,12.915000000000003,15.29781,0.013619691563208044,11975.033333333333,52.50921709911992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
192,15.963184375,15.462,15.93,16.423000000000002,16.898,17.822409999999998,0.007722475271615118,12049.56111111111,27.48666246440943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
240,19.61306573260508,19.016,19.588,20.184,20.736,21.666999999999998,0.009634983531046965,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
6,1.9532314814814813,1.8670000000000002,1.943,2.03525,2.119,2.2680500000000006,0.007546802577510122,3075.6277777777777,15.21001934590917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
12,1.976081481481481,1.871,1.9489999999999998,2.04025,2.128,2.323789999999997,0.010310308201904204,6109.2555555555555,35.78669983299125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64
