workload,num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
1-1,12,1.8197757677275288,1.071502,1.290635,1.6822457499999999,2.9653894999999997,8.3238119,0.005507893932323713,2537.6666666666665,14.897790141086768,2.348018430670373,1.635829335432177e-05,0,0.08703955162646236,0.0008052214229857683,1.0861352189883395,0.699501,0.887523,1.138802,1.5453025,5.724819049999995,0.0031226630903670024,2537.7204301075267,14.904900601546581,2.3363729217929055,2.7953711202586354e-05,0,0.3953043467207332,0.0014141415439398346,0.9348564600331346,0.0029916130878869414,1.5507804318525613,0.005409762869435772,0.08737117369750176,0.0007784078589214762,0.0055082878546489945,64
1-3,12,1.8680906302927032,1.079427,1.303932,1.72544425,3.229491000000003,8.486937,0.0059858581003525875,2303.3333333333335,13.55616173609657,2.5884730142897157,1.644739092012511e-05,0,0.08713138324774755,0.0008387656151445934,1.4622205384466356,0.963325,1.212001,1.56744,2.1016838000000018,7.1032897600000044,0.0037616674456219016,2303.3602150537636,13.630258119486719,2.5568225539452647,4.806745013946433e-05,0,0.3563059829957577,0.0013955382371070406,1.289474859394293,0.003628470900042926,1.5980907536529574,0.005888706131307565,0.08696175443076386,0.0008091324089186554,0.0,64
1-6,12,3.1496526293450247,1.170429,1.5645384999999998,4.317831,7.715869600000003,13.470966350000015,0.01218364368785545,1443.3763440860216,4.091455036698388,4.1402995502071,1.6620455156666714e-05,0,0.09024118208129088,0.0011290319695054735,3.1952388028875167,1.511237,2.0208025000000003,3.0801775,8.263108500000001,12.992134849999992,0.011535631182021298,1443.3655913978494,4.023513225371745,4.077231024565495,7.97199487421126e-05,0,0.29537708545184327,0.0016277645311751686,2.9868230471568102,0.011461730394949203,2.872434042519034,0.012112286267917445,0.0885772659070422,0.0010732829488571615,0.0,64
1-9,12,5.182434023557851,1.318233,2.838238,8.633615,12.332950100000001,15.815949729999996,0.02134057289919605,978.6021505376344,2.9091567829487546,6.114081754411603,1.711261983298538e-05,0,0.088051972371168,0.0013858447554547506,4.936291198271553,1.639602,2.395503,6.915511,13.253237600000016,24.739018240000018,0.023942397143813667,978.5645161290323,2.8433883267902726,6.025487194876189,0.00010594297769390097,0,0.27460422544110014,0.0019225521944650974,4.702942014663788,0.02388806480095608,4.90637119079222,0.021284801107074154,0.08539507948882771,0.0012306312631264406,0.0,64
1-12,12,6.544790840935913,1.4763027499999999,5.450538,11.35043675,13.7114421,17.803718560000018,0.027610036972836417,738.0537634408602,2.3115199329815934,8.111786585461617,1.770248052127799e-05,0,0.08273376804003554,0.0015025396687700565,7.582319373879978,1.939749,3.1186365,12.109814,16.963860799999996,31.800255269999976,0.043977498789883086,738.0322580645161,2.2597032031321604,8.001856136034501,0.0001278698135262322,0,0.24506468719951047,0.0020851294266120077,7.326313171256029,0.04391948071909636,6.275432498331852,0.027563448198065388,0.08409995235077289,0.001439981748272894,0.0,64
