workload,num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
1-1,12,2.760873148148148,2.562,2.737,2.926,3.0801,3.551089999999993,0.013923925277658816,2509.3333333333335,11.579093958887814,2.056697222222222,1.8840000000000001,2.038,2.1719999999999997,2.284,3.298779999999992,0.012754714088198825,2509.3333333333335,11.560008127511486,0.0054883988664541266,64
1-3,12,2.8292509259259258,2.6079999999999997,2.784,2.97,3.1242000000000005,3.5211899999999914,0.02665122948491636,2288.811111111111,10.765781301829898,2.4664708333333336,2.283,2.4515000000000002,2.6149999999999998,2.7329999999999997,3.1122299999999994,0.01491963922830169,2288.75,10.762935621984342,0.006995570119546089,64
1-6,12,4.095925925925926,3.851,4.081,4.324000000000001,4.557,4.933919999999999,0.014934902942382209,1435.2833333333333,3.2970124772260845,4.280064351851851,4.02775,4.263,4.511,4.7311000000000005,5.187819999999999,0.015459968171132415,1435.2944444444445,3.2967384296716724,0.009920535081845382,64
1-9,12,6.2512134259259255,5.78825,6.193,6.56225,6.923,8.73963999999997,0.04520147150005047,973.1833333333333,3.3355254836408283,6.20494212962963,5.671,6.1045,6.547,7.012100000000001,8.48833999999999,0.049445734079269145,973.2055555555555,3.3746244065222317,0.01332366691974403,64
1-12,12,7.5467625,7.06,7.520999999999999,8.01525,8.465200000000001,9.21941,0.02954603262313868,734.1555555555556,2.304343264387852,8.878505092592592,8.10725,8.801,9.565,10.3062,11.749329999999997,0.04683532205532824,734.1333333333333,2.313410093231671,0.014998789199660975,64
