num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,max_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,max_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2789036052744909,0.820806,0.998106,1.28230975,1.8123113000000002,6.842164830000004,0.003956795240928376,2621.6666666666665,3022,26.303968673976744,2.2665349878391403,2.208548259951193e-05,0,0.7390665053421651,0.0028333127551252563,1.1393290325677259,0.0038676706550897985,0,0,0.09003037755880482,0.0007433836685867252,0.013602526505752312,8
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0542101503901025,0.889606,1.184608,4.41231,8.968254,11.616725199999976,0.009506822516760558,2988.6075268817203,3167,7.153509380119429,3.993373658101284,2.187420969775906e-05,0,1.4483729431299146,0.004083794890244532,2.2358019788551857,0.008055364109855976,0,0,0.7741897933478572,0.005745789610086081,0.01344712267553667,8
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.026701318387617,2.215816,6.925942,11.53237,12.718795,19.687753959999867,0.013542213093254808,2991.2311827956987,3100,6.066152231378424,8.00032985219881,2.312220929275355e-05,0,9.211512503392532,0.008603657691723637,2.63536875431593,0.009541774602651895,0,0,4.3495758031630105,0.012231405494687275,0.01425133319793159,8
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.710076351947261,13.705618,14.7147985,15.496621,17.202024,32.875381320000116,0.012069270810884923,2998.967741935484,3153,7.424875789149125,15.982339052864068,2.3168218455095653e-05,0,32.133761079080976,0.012644326007198713,2.633379457196741,0.009495060628464436,0,0,12.035472729853279,0.012856152659987989,0.0169251785560623,8
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.18743634853477,29.806481,30.617846,31.667847,37.64400920000001,56.452463719999876,0.01694051584528796,2991.016129032258,3189,6.642381644570142,32.0725319324788,2.358385512169957e-05,0,81.1639713191295,0.009181155139621899,2.6397616461716003,0.009348739527405215,0,0,28.50621818214761,0.016587826208599832,0.015116954176395622,8
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.48365425191272,45.707078,46.631275,47.807103,56.261982,79.35646572,0.021859744524549092,2981.5967741935483,3134,6.261706306112717,48.27217737934498,2.4091668956700337e-05,0,128.84198587391833,0.009430428697238117,2.6468446960205703,0.009724614377106321,0,0,44.789799210513614,0.02070724101628898,0.012182257828939894,8
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.77711251301313,61.5690845,62.657491,64.67994300000001,73.05324959999999,98.40596485999991,0.025629270084270295,2979.005376344086,3150,7.434801983062735,64.42724041511293,2.3801373749988726e-05,0,176.60863750800854,0.011405659742574228,2.6564645931311417,0.009762958721630422,0,0,61.07464750299678,0.024109993525919755,0.008458838285853509,8
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.87954472161356,76.5016625,78.390275,81.01171450000001,89.3388582,116.00668788999997,0.033366655898943005,2974.8817204301076,3113,7.316497683625981,80.6513674672039,2.4108922929980047e-05,0,218.35265159182256,0.05252360201650113,2.655030858228753,0.009725610825242644,0,0,75.17763857176935,0.03235615681389181,0.009155509932625856,8
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2920231453794475,0.811501,0.986906,1.267402,1.796211,6.85124173,0.008574982784743418,2634.559139784946,3092,41.61822718213293,2.2549597332703435,2.2461148801701125e-05,0,0.711830752528427,0.002787824408107981,1.15473977899222,0.008527863987998147,0,0,0.08711359498232753,0.0007015113966448975,0.013780845176194014,16
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0398381786594837,0.924906,1.223007,4.653828,8.8480536,11.273973000000002,0.009105542359317305,2993.951612903226,3134,7.0000438854545814,3.984619448292704,2.3461359788103245e-05,0,1.9648089786756453,0.005598601339013125,2.8535439939806952,0.009081329910897811,0,0,0.13742064264511789,0.0008978977722248101,0.013800224466891133,16
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.042975678530534,1.167207,7.170592,12.597974,13.372326,17.213145679999997,0.015271089289397187,2995.6021505376343,3085,4.501428184974966,7.988048368274639,2.3696447602399215e-05,0,3.1057482115359076,0.007445745558785646,4.926213186147436,0.014189487938450894,0,0,2.0705878427210505,0.010987547863581259,0.01454461917290939,16
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.022651531288435,14.287428,14.720989,15.164692,16.212808199999998,29.050357,0.010088122579506873,3030.153005464481,3130,5.518753218467486,15.81724230135,2.354194731280139e-05,0,20.89513775927923,0.014326942669474846,5.308190521368104,0.01511813573611311,0,0,9.672843759948282,0.01557664487284504,0.017077894676097077,16
