workload,num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
1-1,12,1.9001986418021357,1.05837,1.245396,1.657958,3.6047610000000025,9.937780599999995,0.006653339389833822,2525.0806451612902,16.61788095839293,2.357669982777086,1.8491749521467433e-05,0,0.13279929115433345,0.0017604278468991111,1.1404585065641273,0.660421,0.845827,1.08553725,1.5760535,6.769412280000005,0.004110121942117267,2525.1290322580644,16.604530304315094,2.343367553639333,3.2748646107725785e-05,0,0.3426835253300459,0.0013687223351901588,0.9303276080898664,0.0033964669141599937,1.5528875246100944,0.006290768578458075,0.13660812499308028,0.0020873998612612513,0.004941725537287565,64
1-3,12,1.9158763433787829,1.081533,1.27246,1.682683,3.6252376000000033,9.434336839999999,0.008495210210988294,2076.048387096774,15.203906396884648,2.869324031257688,2.078201698843699e-05,0,0.145497190358544,0.0016196930930850323,1.9768354785301976,1.2061000000000002,1.398447,1.778257,3.3947662000000003,9.299744499999989,0.0066088636576056145,2076.059139784946,15.208112552436418,2.637046579978609,0.00025304449932538644,0,0.3639802043786547,0.0015141015213399095,1.5187505989402996,0.0062659726685613685,1.5476322679822347,0.00822676935735088,0.13594678198199128,0.0015425443427301228,0.0,64
1-6,12,2.6550808247577637,1.17834,1.4671535,3.06442475,6.222325,11.635133499999998,0.010833425340856736,1441.5376344086021,6.954759828002813,4.1418674147564944,2.0354824041681898e-05,0,0.1474867913965822,0.0018818703896699878,3.6233166412070528,1.9152525000000002,2.361879,4.6296135,7.425327800000001,13.17518318000005,0.01089312556300319,1441.52688172043,6.908277734085513,3.6967618611500646,0.0004654914246430755,0,0.36138554778554777,0.0017978402380654846,2.9522442445957835,0.010660966708987134,2.2807534133616287,0.01040706861530364,0.1322031086586803,0.0017517680568807045,0.0,64
1-9,12,3.569504502090997,1.2864484999999999,1.722658,5.24531075,8.3546318,16.936191370000003,0.01782782272899367,982.1935483870968,2.7535736095917787,6.0870462772924325,2.1729340153704677e-05,0,0.15238020183044318,0.002253886538720836,6.492820542183318,2.5257009999999998,5.362776,10.2953425,11.9312472,20.22621713999998,0.020278063792259833,982.0806451612904,2.719031218524822,5.436890380720108,0.0006725875216924786,0,0.37510640336111456,0.0022143853638736575,5.607825799033213,0.020095449856075684,3.1890478055373093,0.017616058378865165,0.13358557634383877,0.001982426611859215,0.0,64
1-12,12,5.213271570820075,1.380347,2.749078,9.533095,11.799641,17.365470000000013,0.02525807337334093,738.3924731182796,1.458667739743108,8.103767162420546,2.19928072898843e-05,0,0.15714840994313425,0.0026998900646748093,8.788500356418846,3.791214,9.455718000000001,12.12503225,13.379351100000003,25.13965601999999,0.025355806976288704,738.3333333333334,1.477866356063951,7.239842721874317,0.0008865681133401296,0,0.3909586377884815,0.0026121391074272514,7.679302445649167,0.02517034952583126,4.82399554240904,0.025070212442019384,0.1404281690308017,0.002333022299923072,0.0,64
