workload,num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
1-1,12,2.8006,2.55275,2.7615,2.999,3.2301,3.7454100000000006,0.014972925196310657,,,6.910495412844036,1.8850000000000002,2.0709999999999997,2.29075,2.613,17.827330000000085,3.06852879225953,3690.2758620689656,72.15416156850712,0.006268757024831694,64
1-3,12,3.4328785350023185,2.581,2.785,3.02,3.2634,5.694240000000001,0.7486500728325954,2066.864406779661,12.175674371168972,3.7378799258229023,2.7279999999999998,2.937,3.18,3.4223999999999997,4.67344,0.9157235445204768,2066.683615819209,12.280008078026386,0.005552281064380085,64
1-6,12,4.107289351851851,3.3520000000000003,3.5840000000000005,3.8280000000000003,4.0622,4.673709999999996,0.8281139522581787,1431.4222222222222,6.089385037441478,4.900564150069476,4.513000000000001,4.757,4.9935,5.2422,5.81542,0.1629804414512031,1432.6703910614526,5.525927108491232,0.008336696991337288,64
1-9,12,4.546001851851853,4.224,4.509,4.8165000000000004,5.095000000000001,5.841429999999997,0.020816132764156985,976.7444444444444,2.2813222875822032,7.777212962962962,7.162749999999999,7.6685,8.322,8.8963,9.98528,0.035231061674371275,976.7055555555555,2.2763819405414796,0.011347671025613315,64
1-12,12,6.213659722222222,5.6762500000000005,6.195,6.72875,7.220999999999999,8.03905,0.03378902888808995,734.8277777777778,1.1609215357017044,10.110797685185185,9.60475,10.1075,10.62925,11.104000000000001,11.928919999999998,0.0329620688061194,734.8111111111111,1.1564925728721098,0.012565587528162944,64
