num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
2,0,0,0,0,0,0,0,0,0,2.2810790960451977,2.134,2.246,2.403,2.541,2.9854400000000005,0.0322738097813864,439.75141242937855,5.7514071801034135,0.01598232180482039,8
4,0,0,0,0,0,0,0,0,0,2.007149717514124,1.904,1.9865,2.08075,2.2194,2.46082,0.015652063151078612,997.0056497175141,10.305783102395589,0.015651385504618347,8
6,0,0,0,0,0,0,0,0,0,2.1412787193973633,2.08,2.138,2.2055,2.258,2.3401,0.007794483062969757,1398.0056497175142,8.176262168153265,0.015534639741035455,8
8,0,0,0,0,0,0,0,0,0,2.9436172316384175,2.699,2.764,2.8449999999999998,2.9202999999999997,5.1005099999999794,0.14652397272878687,1428.0169491525423,19.39349005579407,0.015536538758263801,8
2,0,0,0,0,0,0,0,0,0,2.836271186440678,2.1350000000000002,2.2569999999999997,2.3739999999999997,2.5526,10.140120000000048,0.8846816520372606,433.638418079096,10.099886480914543,0.015764650702243532,16
4,0,0,0,0,0,0,0,0,0,2.0742909604519775,1.9457499999999999,2.074,2.2035,2.3,2.4575799999999997,0.018624385053038116,967.1299435028249,12.535592271890664,0.015690902080826255,16
6,0,0,0,0,0,0,0,0,0,2.184387947269303,2.117,2.184,2.2495,2.313,2.4275,0.00876025219074925,1371.2711864406779,9.255892722623306,0.015573821148260305,16
8,0,0,0,0,0,0,0,0,0,2.760282485875706,2.696,2.758,2.827,2.8936,3.0069299999999997,0.00783144723670604,1446.8418079096045,7.735789327593629,0.015525731087777392,16
2,0,0,0,0,0,0,0,0,0,2.2916158192090395,2.144,2.247,2.41,2.6022,2.88476,0.032736356066365796,437.728813559322,5.659634173528878,0.015759312320916905,32
4,0,0,0,0,0,0,0,0,0,2.0962881355932206,1.99025,2.0905,2.17475,2.2824999999999998,2.4854999999999987,0.014829228770293388,954.090395480226,9.210171693730997,0.0156033492426306,32
6,0,0,0,0,0,0,0,0,0,2.2314821092278723,2.097,2.158,2.2390000000000003,2.323,4.788100000000002,0.0325786425788709,1359.4180790960452,19.331839939596122,0.0156264935561494,32
8,0,0,0,0,0,0,0,0,0,2.7870649717514127,2.7027500000000004,2.784,2.8600000000000003,2.9316,3.1154999999999973,0.011429904954901534,1434.8361581920904,10.297087732004305,0.015513887685753212,32
2,0,0,0,0,0,0,0,0,0,2.7368983050847455,2.12,2.266,2.428,2.5987999999999998,12.06660000000005,0.6533690276914172,430.52542372881356,9.48049540345773,0.01576053436216422,64
4,0,0,0,0,0,0,0,0,0,1.9900932203389832,1.8842500000000002,1.9865,2.09725,2.1851,2.3160299999999987,0.01563418444319456,1005.8870056497175,11.030786818407073,0.01564237651790027,64
6,0,0,0,0,0,0,0,0,0,2.1612504708097924,2.103,2.1609999999999996,2.221,2.277,2.3627000000000002,0.0075640655578921275,1384.7853107344633,7.647579977758937,0.015556471255410903,64
8,0,0,0,0,0,0,0,0,0,11.64404403409091,2.693,2.7649999999999997,2.84,2.9849000000000006,239.74461000000065,5.000332988305795,1348.5795454545455,47.95083965905357,0.015496102801769539,64
