num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
2,0,0,0,0,0,0,0,0,0,1.1201694915254237,1.0565,1.113,1.17475,1.2251,1.34882,0.009015873686452312,1778.5593220338983,10.72686767532237,0.018122329696161114,0
4,0,0,0,0,0,0,0,0,0,1.1810918079096044,1.117,1.1689999999999998,1.234,1.293,1.41993,0.006641838411024449,3379.8192090395482,21.679833925752853,0.018066690291995695,0
6,0,0,0,0,0,0,0,0,0,1.284649717514124,1.19825,1.2545000000000002,1.33875,1.426,1.7749100000000069,0.009579304005047659,4692.830508474576,40.04537221356456,0.000858383566228566,0
8,0,0,0,0,0,0,0,0,0,1.3728305084745762,1.3267499999999999,1.356,1.4009999999999998,1.4485000000000001,1.7184999999999993,0.004653075999784436,5810.180790960452,26.980241029933914,0.017832520745778402,0
12,0,0,0,0,0,0,0,0,0,2.0198102636534836,1.974,2.008,2.049,2.088,2.2440099999999994,0.0055928450987404585,5934.61581920904,21.922377969982843,0.016534228461378087,0
16,0,0,0,0,0,0,0,0,0,2.677138418079096,2.621,2.674,2.7230000000000003,2.7699000000000003,2.90607,0.003790271855284276,5966.3785310734465,14.296297587017031,0.01672649659248766,0
32,0,0,0,0,0,0,0,0,0,5.354806850282486,5.252000000000001,5.337,5.428000000000001,5.522,6.5238099999999974,0.006466439880096023,5978.141242937853,14.208474580947986,0.016347692298968652,0
64,0,0,0,0,0,0,0,0,0,10.72892787782486,10.213,10.636,11.108,11.616,13.489329999999988,0.014429619005881817,5988.310734463277,19.94502153611366,0.019551272677183703,0
