num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
2,0,0,0,0,0,0,0,0,0,1.120477777777778,1.0557500000000002,1.1124999999999998,1.1762499999999998,1.2282,1.3618400000000004,0.00902674372619653,1778.2388888888888,10.776635631099554,0.018132796805828487,0
4,0,0,0,0,0,0,0,0,0,1.180811111111111,1.117,1.1689999999999998,1.234,1.2921,1.4198099999999998,0.006558041217093164,3380.461111111111,21.341800290677167,0.018054736122455353,0
6,0,0,0,0,0,0,0,0,0,1.2850046296296296,1.198,1.2550000000000001,1.34,1.4269999999999998,1.7624900000000026,0.009479839338646498,4691.483333333334,39.5554360896619,0.0008561613420062596,0
8,0,0,0,0,0,0,0,0,0,1.373079861111111,1.327,1.356,1.4020000000000001,1.449,1.716099999999999,0.0046011546255932435,5809.122222222222,26.568935709374543,0.017834019674037575,0
12,0,0,0,0,0,0,0,0,0,2.0194467592592593,1.974,2.007,2.048,2.086,2.239329999999998,0.005505997823600849,5935.305555555556,21.572893020278087,0.01657782291466788,0
16,0,0,0,0,0,0,0,0,0,2.678788888888889,2.621,2.673,2.7230000000000003,2.7691,2.912,0.004696696423924449,5965.727777777778,14.293967898320819,0.016765207933091893,0
32,0,0,0,0,0,0,0,0,0,5.354053124999999,5.252000000000001,5.337,5.4270000000000005,5.520100000000001,6.444659999999981,0.006368041541552091,5978.761111111111,13.994987925019792,0.01644060410136994,0
64,0,0,0,0,0,0,0,0,0,10.729984461805556,10.213,10.636,11.108,11.616,13.457419999999956,0.014280979650605277,5987.644444444444,19.629381762436488,0.01941776398806431,0
