num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
6,0,0,0,0,0,0,0,0,0,2.027774074074074,1.9729999999999999,2.0244999999999997,2.078,2.133,2.23247,0.0050121095708415,2948.9444444444443,7.341849654931019,0.0,0
12,0,0,0,0,0,0,0,0,0,4.074845833333332,3.9377500000000003,4.069,4.207,4.3229999999999995,4.51241,0.007879782838206575,2944.6833333333334,5.129717360259868,0.0,0
24,0,0,0,0,0,0,0,0,0,8.158302314814813,7.934,8.118,8.324,8.541,9.079430000000002,0.008825194104315573,2942.3722222222223,3.7754454921666767,0.0,0
48,0,0,0,0,0,0,0,0,0,16.322597337962964,15.861,16.124,16.661,17.241,18.844050000000003,0.01620828328105837,2945.338888888889,3.5650735925636243,0.0,0
96,0,0,0,0,0,0,0,0,0,33.461807523148146,29.281750000000002,32.3245,36.638,41.260000000000005,52.61321,0.09112745942118794,2951.0055555555555,18.180473535075578,0.0,0
144,0,0,0,0,0,0,0,0,0,54.71567766105361,41.019,49.143,60.68600000000001,76.929,134.38299,0.4116281532741364,2936.843023255814,24.344624855415248,0.0,0
192,0,0,0,0,0,0,0,0,0,78.48141645617397,52.3545,65.62700000000001,87.269,121.1668,277.3811800000001,0.5589304992237277,2939.725,23.119531865460758,0.0,0
