num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
6,2.102877777777778,2.007,2.086,2.189,2.286,2.4918900000000006,0.008269112291489864,2857.4555555555557,11.154295900501003,0,0,0,0,0,0,0,0,0,0,8
12,2.1676203703703703,2.062,2.1535,2.24825,2.3392000000000004,2.5122299999999997,0.010258284576993935,5556.905555555555,23.596860568322953,0,0,0,0,0,0,0,0,0,0,8
24,2.919222222222222,2.757,2.912,3.07,3.2091000000000003,3.4328100000000004,0.006561908455013915,8254.683333333332,15.58612530254447,0,0,0,0,0,0,0,0,0,0,8
48,5.423691319444444,5.163,5.424,5.66,5.850999999999999,6.192830000000002,0.006934720805778534,8874.327777777778,19.804242078072974,0,0,0,0,0,0,0,0,0,0,8
96,10.845212847222221,10.342,10.838000000000001,11.311,11.676,12.474209999999998,0.009729537103953877,8879.472222222223,22.40159765687534,0,0,0,0,0,0,0,0,0,0,8
192,22.023635300925925,20.572999999999997,21.559,22.487,23.408,36.50627999999997,0.032257840977083126,8826.81111111111,73.07309557148564,0,0,0,0,0,0,0,0,0,0,8
288,32.05517797067901,30.514999999999997,32.125,33.507000000000005,34.506,35.96405000000001,0.016154904085197156,9013.75,18.656389072422385,0,0,0,0,0,0,0,0,0,0,8
6,2.1563074074074073,2.0637499999999998,2.1449999999999996,2.23725,2.3271,2.5186800000000007,0.007972012121580744,2785.366666666667,9.225864390153351,0,0,0,0,0,0,0,0,0,0,16
12,2.219524537037037,2.114,2.206,2.313,2.405,2.631639999999999,0.006339857843250562,5418.7555555555555,16.740547824013998,0,0,0,0,0,0,0,0,0,0,16
24,2.8320333333333334,2.67,2.83,2.9742499999999996,3.117,3.3408100000000003,0.006383290572948078,8509.16111111111,18.356609509926127,0,0,0,0,0,0,0,0,0,0,16
48,4.888856944444444,4.5729999999999995,4.8835,5.18125,5.374100000000001,5.6930000000000005,0.007839094618663186,9865.5,16.905539763241222,0,0,0,0,0,0,0,0,0,0,16
96,9.443925231481481,8.83675,9.462,10.022250000000001,10.31,10.774209999999998,0.009996250987985752,10211.244444444445,15.052001230761016,0,0,0,0,0,0,0,0,0,0,16
192,18.824177459490738,17.616749999999996,18.944,19.966,20.444,21.261409999999998,0.01362224443680579,10245.172222222222,14.956375097877777,0,0,0,0,0,0,0,0,0,0,16
288,28.187689776234567,26.422,28.377,29.852999999999998,30.456999999999997,31.60361,0.01589309467374128,10259.6,13.792265548520078,0,0,0,0,0,0,0,0,0,0,16
6,2.1371777777777776,2.0399999999999996,2.124,2.225,2.3102,2.51089,0.008230948132052001,2811.238888888889,6.778151189782895,0,0,0,0,0,0,0,0,0,0,32
12,2.215119907407407,2.1100000000000003,2.2079999999999997,2.3089999999999997,2.407,2.6130499999999994,0.006304109202364098,5429.4944444444445,16.97899660152486,0,0,0,0,0,0,0,0,0,0,32
24,2.8786168981481484,2.706,2.8739999999999997,3.035,3.154,3.4020000000000006,0.007200728729666321,8370.883333333333,31.196924261126096,0,0,0,0,0,0,0,0,0,0,32
48,4.828294212962963,4.417,4.852500000000001,5.207,5.4079999999999995,5.765000000000001,0.00957572312605993,10020.244444444445,20.464175501416015,0,0,0,0,0,0,0,0,0,0,32
96,8.265774016203702,7.659999999999999,8.222,8.841,9.198,9.729419999999998,0.010463948026831205,11690.555555555555,18.324651548711138,0,0,0,0,0,0,0,0,0,0,32
192,16.26034586226852,15.183000000000002,16.29,17.29,17.758000000000003,18.464409999999997,0.012270232290216407,11864.883333333333,16.667768733097937,0,0,0,0,0,0,0,0,0,0,32
288,24.253045158179013,22.622999999999998,24.246499999999997,25.825999999999997,26.473000000000003,27.477999999999998,0.015066923129152275,11934.116666666667,14.393959379527615,0,0,0,0,0,0,0,0,0,0,32
6,2.1064388888888885,1.99575,2.0895,2.2030000000000003,2.3030999999999997,2.5645700000000007,0.009384491983049952,2855.688888888889,9.88347420236674,0,0,0,0,0,0,0,0,0,0,64
12,2.207330092592593,2.08975,2.2,2.307,2.4161000000000006,2.673919999999998,0.006971900754956507,5453.794444444445,16.74754094264675,0,0,0,0,0,0,0,0,0,0,64
24,2.944408333333333,2.7590000000000003,2.926,3.1142499999999997,3.264,3.5428100000000002,0.007246433063283253,8192.905555555555,25.9540494721065,0,0,0,0,0,0,0,0,0,0,64
48,4.884432638888889,4.471,4.919,5.264,5.455,5.8026100000000005,0.009541830177680696,9902.833333333334,22.721096048303895,0,0,0,0,0,0,0,0,0,0,64
96,8.230591319444445,7.686,8.245000000000001,8.729000000000001,9.078,9.613209999999999,0.009735300953537364,11730.366666666667,28.964812222827586,0,0,0,0,0,0,0,0,0,0,64
192,14.416282233796295,13.75075,14.33,15.004,15.6,16.605819999999994,0.009709255596191763,13364.844444444445,23.91554205318446,0,0,0,0,0,0,0,0,0,0,64
288,21.444179687499997,20.473,21.372,22.328,23.106,24.573220000000003,0.01110004697728686,13474.427777777777,22.351690324701078,0,0,0,0,0,0,0,0,0,0,64
