num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,max_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,max_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
96,8.494508729589736,5.63690075,9.1757525,10.39168475,11.5741989,17.11565574,0.004281946817491253,10265.36559139785,10653,21.609145005254565,4.652301908856799,2.3615336625713968e-05,0,5.352092836776026,0.0038996917346844763,0,0,0,0,0,0,0,0,0,0,0,0,0,23.877856850313037,0.006094521892252536,0,0,2.9087162378548195,0.003195712675860667,0,0,0,16
192,17.836859316559607,15.189395,17.024686,20.3312315,22.4521832,30.002594059999986,0.005304661900900219,10296.553763440861,10748,28.485145656150788,9.29928967067904,2.4218194725346563e-05,0,14.703105224598586,0.004587296045597726,0,0,0,0,0,0,0,0,0,0,0,0,0,71.84823557730716,0.006383414312896385,0,0,2.9008112035267044,0.003179435298463116,0,0,0,16
288,27.1505414209493,24.671426750000002,26.729236,29.037077250000003,32.543404699999996,41.42688174,0.006115711016075284,10313.78494623656,10770,25.642975111884713,13.937626362220621,2.4270337258726713e-05,0,24.021189443157297,0.005751008664137914,0,0,0,0,0,0,0,0,0,0,0,0,0,119.79973195910682,0.006407210805528881,0,0,2.894160809663338,0.003154304449526187,0,0,0,16
6,1.4386621140392784,0.908634,1.155538,1.588139,2.3033658,5.906753,0.0026289768492907617,2824.9086021505377,3023,10.560841688854737,1.043632579339326,1.8348681830033515e-05,0,0.06661727718281873,0.0006446249008955421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14316953826653445,0.0009751468983882904,0,0,1.1660231766904625,0.002489875121842089,0,0,0,32
12,1.5268725771881497,0.983333,1.215037,1.626645,2.397067,6.537904279999997,0.002089459742121268,5458.3494623655915,5806,24.02496228932465,1.0800479402956702,1.9185452760050944e-05,0,0.09192064799414525,0.0005842248569811965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43493493739984024,0.0013149656780628155,0,0,1.2290672188400331,0.0019606507704607434,0,0,0,32
24,2.1396670837349543,1.183737,1.48254,2.064858,5.1451416,8.042021240000002,0.0041484725627067304,8412.360215053763,9118,46.39048548808562,1.4055502651116927,2.0922174635504975e-05,0,0.16034324851105541,0.003196047995603958,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0038122348132132,0.0021304223614152158,0,0,1.7590946613859924,0.0026182213403346593,0,0,0,32
48,3.9299098038442897,1.83405,2.6545750000000004,6.4656515,7.636074,10.379268149999996,0.0037585696390995023,10069.956989247312,10738,33.32671669791951,2.359510481949395,2.381648018432343e-05,0,0.3130664910694646,0.0009162926380098462,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4843135014618167,0.004407190600443452,0,0,3.3740041147114908,0.0036164626308612616,0,0,0,32
96,7.157568594738564,4.52521375,7.639891,9.060927,10.448661100000004,15.446616179999976,0.004164451267209679,11753.397849462366,12460,31.03461531720656,4.057948207383634,2.5977191448640773e-05,0,1.8973378782502615,0.0031288026190465145,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22676901486278,0.007150448784958729,0,0,4.998204173419992,0.003612978783981687,0,0,0,32
192,15.052595432277624,12.543238,14.438077,17.27715025,19.5896607,25.526266459999988,0.0046289251111666565,11927.967741935483,12375,29.287637906018496,8.021356234497672,2.6955269773938704e-05,0,9.653176403350846,0.0037307008888292493,0,0,0,0,0,0,0,0,0,0,0,0,0,51.79602921118795,0.0097154648437923,0,0,5.1321789462323535,0.003608068703417799,0,0,0,32
288,22.98184149245037,20.640169,22.784757,24.950966,27.664848400000004,35.85326184,0.005427605536823775,11998.370967741936,12538,27.921010392285837,11.974660514672468,2.69687387611311e-05,0,17.61445731061564,0.004891294258934374,0,0,0,0,0,0,0,0,0,0,0,0,0,99.65073618864926,0.009921327093369061,0,0,5.102205837050013,0.0036440332264866667,0,0,0,32
6,1.39136672827332,0.887824,1.101629,1.489233,2.195357,6.0537202000000025,0.002655653754559673,2867.8010752688174,3212,13.973681166027207,1.0295473160864699,1.6550345941497266e-05,0,0.07010766739531059,0.0006918123388731182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12213471413225449,0.0009079221506497902,0,0,1.114993445213916,0.0024995168114129054,0,0,0,64
12,1.518060483492524,0.976421,1.200928,1.595033,2.3768586000000003,6.601354239999999,0.0024409925479039443,5481.876344086021,6002,29.962944280190218,1.07528057434714,1.923517598950207e-05,0,0.09828659289015909,0.0013805692592290188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4264609970881566,0.0013194314783723897,0,0,1.2080526910337002,0.001959037600789607,0,0,0,64
24,2.1997605430048917,1.199378,1.512231,2.143,5.472695000000004,8.107836799999994,0.0028367391995940514,8232.059139784946,8984,39.859306724493344,1.4362201188593247,2.14953562403219e-05,0,0.15630558624196111,0.0006544011316782716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9812828549279208,0.0021726067971346253,0,0,1.816454167988646,0.002735079601745812,0,0,0,64
48,3.9938573315137207,1.860561,2.712092,6.569884,7.694586700000001,10.374534059999995,0.0037949140408987127,9956.236559139785,10507,31.933555215636165,2.3862741370735367,2.427525650913136e-05,0,0.2983335521961705,0.0008714404205665925,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3746498115408294,0.004379570944264186,0,0,3.449195545926798,0.003665996077045657,0,0,0,64
96,7.07496379492592,4.846259,7.377794,8.820179,10.246435,15.24605072000001,0.004125762163711238,11796.39247311828,12498,41.769448757435015,4.040801968593003,2.8238639320204056e-05,0,0.6106563589100733,0.0013365565739952116,0,0,0,0,0,0,0,0,0,0,0,0,0,5.302476745897803,0.008446473238626412,0,0,6.191236098179736,0.0038806492298216764,0,0,0,64
192,12.700514845502335,10.125416,12.20732,14.632284,17.4674584,24.160455919999997,0.005181480557955222,13435.252688172042,14123,40.90586074736246,7.1129827436542525,3.2398309321048746e-05,0,3.4416362301356123,0.004122271318425203,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9877728988534,0.012235440317039884,0,0,8.933194422562687,0.003855471268679888,0,0,0,64
288,19.570941198726427,16.945144,19.265969,21.692468,24.4505239,32.967031100000014,0.0057929988653296965,13546.559139784946,14247,41.780608269469795,10.596891186187424,3.311444949358248e-05,0,10.099195950266704,0.004315639726618996,0,0,0,0,0,0,0,0,0,0,0,0,0,62.34297286141781,0.016759795649570374,0,0,9.140740106622324,0.004228734887475711,0,0,0,64
