num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
2,1.2004527777777778,1.098,1.149,1.2379999999999998,1.3382000000000003,1.8496200000000018,0.028812958199903906,1693.4333333333334,17.169505307710047,0,0,0,0,0,0,0,0,0,0,0
4,1.192309722222222,1.11375,1.176,1.25175,1.3262,1.6460999999999992,0.009252083848957138,3372.438888888889,29.85982532462064,0,0,0,0,0,0,0,0,0,0,0
6,1.2961851851851853,1.154,1.249,1.37425,1.4591,2.260670000000001,0.014212307258053782,4712.511111111111,46.54464806794452,0,0,0,0,0,0,0,0,0,0,0
8,1.3527458333333333,1.298,1.342,1.392,1.4420000000000002,1.7388299999999997,0.005147548626857232,5922.4944444444445,27.035915126444777,0,0,0,0,0,0,0,0,0,0,0
12,2.0496458333333334,1.9100000000000001,2.0095,2.128,2.2140000000000004,3.669439999999973,0.013979131066802005,5938.1,39.52167291661463,0,0,0,0,0,0,0,0,0,0,0
16,2.704100694444444,2.5210000000000004,2.6615,2.827,2.949,4.231000000000001,0.013110151003822684,5983.044444444445,37.494682861980266,0,0,0,0,0,0,0,0,0,0,0
32,5.527892708333334,5.0920000000000005,5.3995,5.745,6.058,9.265349999999994,0.02896364208305309,5914.122222222222,46.33163520968278,0,0,0,0,0,0,0,0,0,0,0
64,10.933936284722222,10.23875,10.846,11.488999999999999,12.179,14.08762,0.01843972905221439,5896.044444444445,21.34041730418777,0,0,0,0,0,0,0,0,0,0,0
