num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
2,1.1999661016949152,1.098,1.1475,1.23475,1.3360999999999998,1.8545399999999974,0.029222214953243047,1694.1412429378531,17.26418856551065,0,0,0,0,0,0,0,0,0,0,0
4,1.1914844632768362,1.11275,1.175,1.2502499999999999,1.3192000000000002,1.6472999999999993,0.009339644149032829,3374.8361581920904,30.09428699181797,0,0,0,0,0,0,0,0,0,0,0
6,1.2967278719397364,1.1532499999999999,1.2495,1.375,1.4580000000000002,2.2655300000000027,0.014422788469535763,4711.604519774011,47.022474679606866,0,0,0,0,0,0,0,0,0,0,0
8,1.353218220338983,1.298,1.343,1.392,1.442,1.7395499999999995,0.005192489569816754,5920.367231638418,27.24619343980246,0,0,0,0,0,0,0,0,0,0,0
12,2.050373352165725,1.911,2.0109999999999997,2.12725,2.2140000000000004,3.735679999999997,0.014168096483649495,5936.38418079096,40.10850203215024,0,0,0,0,0,0,0,0,0,0,0
16,2.705064618644068,2.5210000000000004,2.6609999999999996,2.8280000000000003,2.949,4.231000000000001,0.013307039847811978,5981.757062146893,37.864790484931476,0,0,0,0,0,0,0,0,0,0,0
32,5.528777189265536,5.0920000000000005,5.4,5.74425,6.0577,9.307089999999993,0.02941779025158886,5915.039548022599,47.07699488576004,0,0,0,0,0,0,0,0,0,0,0
64,10.932202418785309,10.232,10.845,11.49,12.177999999999999,14.087459999999998,0.018607880837663824,5896.864406779661,21.545600700175328,0,0,0,0,0,0,0,0,0,0,0
