num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,max_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,max_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
24,1.6866249852875925,0.699301,0.942902,1.413111,5.119855300000015,8.314418419999999,0.0030738674063621597,9500.430107526881,10595,82.42135900199625,1.2478855834138807,1.5215125099599338e-05,0,0.13310910227493952,0.000597638774160635,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3116163388188424,0.002404282385699805,0,0,1.4420974319674258,0.0028912190196968574,0,0,0,16
48,3.190735310230507,0.960702,1.413604,6.975336,8.121219,9.639772,0.005607072267318293,12048.983870967742,14566,91.99997635439914,1.9769886236924457,1.4880587604986985e-05,0,0.836534709497209,0.0027040367609784473,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60820459138347,0.0035662781743337132,0,0,2.242810802083878,0.005140825346341009,0,0,0,16
96,6.554978060138487,2.922107,7.89007,9.554823,10.455725,12.761198290000001,0.008086494288007144,12682.10752688172,14870,181.8231905490242,3.7696809839376617,1.5178898243312898e-05,0,4.040538721366826,0.004345020469560069,0,0,0,0,0,0,0,0,0,0,0,0,0,20.78770403820131,0.007409643865904503,0,0,2.4074282776594083,0.007296830049955192,0,0,0,16
144,10.12882615813685,9.425673,10.991482,11.982628,12.990197,18.33981572000002,0.004831033441493993,12886.177419354839,14427,87.26070272852334,5.5720923865611605,1.5289942340901233e-05,0,7.642691658003554,0.0045059351743356214,0,0,0,0,0,0,0,0,0,0,0,0,0,43.99132645674764,0.00933984371850387,0,0,2.37718078624591,0.004053077066723664,0,0,0,16
192,14.016861536538663,12.180437,13.31339,14.913734,19.285344600000002,23.009473,0.009264761825313638,12975.13440860215,14169,98.72877954455527,7.3834772799523485,1.529000652405863e-05,0,11.532243305941257,0.008297989525643212,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9026562386699,0.007443536539154463,0,0,2.378100478708031,0.004451513396533257,0,0,0,16
240,16.598925595179097,13.648221000000001,15.702176999999999,20.611155250000003,22.607371099999998,26.611920389999987,0.008860293061369552,12584.086021505376,16327,217.47139414601543,9.520215273117183,1.5638168676515835e-05,0,14.136642344465189,0.006184567464944954,0,0,0,0,0,0,0,0,0,0,0,0,0,87.37693750427233,0.019518882201474266,0,0,2.3447437241416877,0.006382269524705273,0,0,0,16
6,1.1089607030190316,0.662005,0.887803,1.248103,1.740204,3.8117582999999984,0.010709846695544338,2994.978494623656,3503,44.05888521688314,0.984837456664022,1.6839184882940255e-05,0,0.07043021549152166,0.0005160485347331167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20485005367407094,0.0011727249328075521,0,0,0.9164975493603987,0.010688780598820845,0,0,0,32
12,1.1146196708573655,0.644905,0.861604,1.212409,1.731414,4.829466730000025,0.008531222503682694,6084.903225806452,7284,92.72634066510425,0.9700169164404766,1.60299897048221e-05,0,0.09826911142595104,0.0005512607343630034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6154478914853613,0.001581767896757579,0,0,0.9001777353736374,0.008495042636290123,0,0,0,32
24,1.7895796481783193,0.705503,0.958715,1.4653215,6.5089106,8.4078649,0.0033871058317719335,9190.231182795698,10156,62.36959630509429,1.2904471605614423,1.528713070037551e-05,0,0.13452736212773855,0.0005375176297295345,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3523838718414773,0.0024963470000224984,0,0,1.5431094015636047,0.0031785540255626823,0,0,0,32
48,3.206987221233996,0.933008,1.360803,6.5595177499999995,8.015566,9.667258210000005,0.011769474421535486,11670.268817204302,14167,230.02674216710912,2.041386476783666,1.5121421699291004e-05,0,0.21509336323347167,0.0007120810812327297,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8972312696080014,0.004578113722400582,0,0,2.877089425370968,0.01168774888989288,0,0,0,32
