num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
6,0,0,0,0,0,0,0,0,0,2.248412037037037,2.1100000000000003,2.256,2.376,2.4701999999999997,2.65663,0.01057124388889231,2673.6277777777777,9.513253843736026,0.009689290248580269,8
12,0,0,0,0,0,0,0,0,0,4.074412962962963,3.779,4.038,4.37625,4.5760000000000005,4.812099999999999,0.01518267266617074,2962.05,5.340251130593261,0.009428530165857355,8
24,0,0,0,0,0,0,0,0,0,8.290031481481481,7.24275,8.247,9.177,9.706999999999997,10.721290000000003,0.0331862485129434,2944.633333333333,9.197933235587843,0.009854084832293778,8
48,0,0,0,0,0,0,0,0,0,16.521252430555553,14.072999999999999,16.453000000000003,18.858249999999998,19.5941,20.498440000000002,0.05221741667171352,2971.1277777777777,4.183432374221532,0.011746381377815756,8
96,0,0,0,0,0,0,0,0,0,33.07736799768519,28.486,33.854,37.638,38.5912,40.177199999999985,0.07062973584602823,2962.211111111111,3.7749388550184775,0.009979407274595928,8
144,0,0,0,0,0,0,0,0,0,49.86531512345679,42.262,51.7615,57.278999999999996,58.803999999999995,60.852390000000014,0.09394090346591043,2957.9555555555557,3.9419239729946054,0.008318433152026926,8
192,0,0,0,0,0,0,0,0,0,66.44523920717592,56.464,69.2465,75.93424999999999,79.2501,81.985,0.10659981384285722,2957.3055555555557,4.234734282544153,0.007202502277786649,8
240,0,0,0,0,0,0,0,0,0,83.47060752314815,70.29599999999999,86.6275,96.44800000000001,98.40810000000002,102.47302000000002,0.134662864405947,2953.6722222222224,5.159367797358365,0.005191277900767594,8
6,0,0,0,0,0,0,0,0,0,2.2567018518518522,2.11275,2.2584999999999997,2.3875,2.4711000000000003,2.66405,0.012346282057140915,2666.927777777778,11.482112278779942,0.009682385266442661,16
12,0,0,0,0,0,0,0,0,0,4.073835185185185,3.778,4.023,4.361000000000001,4.5811,4.85141,0.015157626562700114,2962.2555555555555,5.411882610607188,0.009426000457609255,16
24,0,0,0,0,0,0,0,0,0,8.155668287037038,7.5015,8.112000000000002,8.69325,9.1955,10.095,0.02351807993442523,2966.9777777777776,5.68221368888015,0.009804215288284375,16
48,0,0,0,0,0,0,0,0,0,16.30708877314815,14.928,16.1205,17.543,18.504,19.98205,0.03438865896438271,2971.7444444444445,3.790702500278403,0.011990712525751804,16
96,0,0,0,0,0,0,0,0,0,34.985347627314816,25.003999999999998,35.536,44.68724999999999,45.458999999999996,46.87121,0.1418250009499992,2964.55,3.6928834108031667,0.009934054072287531,16
144,0,0,0,0,0,0,0,0,0,52.67025381944445,37.898,57.918499999999995,66.663,69.185,73.30881,0.17961724140923174,2961.3,4.18377064671723,0.008076407883924852,16
192,0,0,0,0,0,0,0,0,0,70.02252074652777,50.783,70.313,89.416,90.911,93.72,0.19931672495294775,2957.661111111111,3.084886391246813,0.007319973177003601,16
240,0,0,0,0,0,0,0,0,0,88.57069974531142,64.1755,96.934,111.08,114.1909,119.82211000000001,0.2696868611650919,2938.5280898876404,11.329463788907914,0.005288954273331341,16
6,0,0,0,0,0,0,0,0,0,2.378890740740741,2.095,2.2455,2.3792500000000003,2.4941,5.569010000000014,0.07901895848142444,2648.8722222222223,32.37072400180649,0.00968336629634834,32
12,0,0,0,0,0,0,0,0,0,4.08151111111111,3.766,4.0600000000000005,4.378,4.572,4.8529199999999975,0.016434630899959824,2958.927777777778,6.03018242867021,0.00942345857264362,32
24,0,0,0,0,0,0,0,0,0,8.244950925925925,7.451999999999999,8.0945,8.775,9.2571,10.469310000000021,0.11104313537989198,2965.1944444444443,7.111904257346734,0.009785755103187911,32
48,0,0,0,0,0,0,0,0,0,16.16396180555555,15.629000000000001,16.117,16.396,16.944999999999997,17.882320000000007,0.013619879470307695,2972.838888888889,3.117795103332795,0.012358183629190953,32
96,0,0,0,0,0,0,0,0,0,32.83166331018518,30.298000000000002,32.743,34.993,37.032999999999994,42.831210000000006,0.08678583258586413,2964.8722222222223,6.805828855095867,0.01081553074237788,32
144,0,0,0,0,0,0,0,0,0,50.49679857253087,41.4605,50.757999999999996,57.936,62.498000000000005,71.39681000000002,0.11977041259274471,2958.527777777778,8.056157968784811,0.00827551240763518,32
192,0,0,0,0,0,0,0,0,0,66.81707910879629,55.8,66.662,76.87100000000001,81.704,92.19765999999991,0.12141671161889792,2959.1722222222224,7.698348420835465,0.007246771338080657,32
240,0,0,0,0,0,0,0,0,0,83.81657391203704,70.26775,82.9285,96.65599999999999,102.397,114.60309000000001,0.1387535031899442,2950.711111111111,7.6722018255106565,0.005273681673720836,32
6,0,0,0,0,0,0,0,0,0,2.251246296296297,2.1195,2.2545,2.366,2.464,2.632,0.01185276247104772,2671.1222222222223,11.165773738951607,0.009725417115569403,64
12,0,0,0,0,0,0,0,0,0,4.0786092592592595,3.766,4.0280000000000005,4.380249999999999,4.602,4.859149999999998,0.01550904921653271,2959.8444444444444,5.446814907920743,0.00939989338779065,64
24,0,0,0,0,0,0,0,0,0,8.175290277777778,7.515000000000001,8.121,8.649,9.086,10.650780000000015,0.03057190667702138,2964.95,8.891461922739461,0.009784688143513756,64
48,0,0,0,0,0,0,0,0,0,16.152065277777776,15.628,16.115000000000002,16.400000000000002,16.944999999999997,17.854,0.01265045799389066,2974.511111111111,2.679360454782352,0.012332558851874818,64
96,0,0,0,0,0,0,0,0,0,33.29224427083334,29.276249999999997,32.264,36.26,40.838,52.64346999999999,0.092267274226638,2966.4222222222224,14.716151742706131,0.01097843267984628,64
144,0,0,0,0,0,0,0,0,0,51.78788208966741,42.305,48.705999999999996,57.314,68.35159999999999,107.75883,0.19374197842717156,2959.0393258426966,16.135376026775823,0.008380302720123807,64
192,0,0,0,0,0,0,0,0,0,69.15943287901149,55.94400000000001,65.464,78.02499999999999,92.29840000000002,136.01116000000007,0.2132878292621783,2950.578651685393,15.124301726157842,0.007340448375758626,64
240,0,0,0,0,0,0,0,0,0,85.6554119403676,70.30399999999999,81.76050000000001,95.361,112.43080000000002,161.31180999999995,0.22074807766232554,2953.14606741573,12.782704121199064,0.005545623906211776,64
