num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_interactive_set_rt_ms,avg_set_think_time,conf_interactive_set_rt_ms,avg_set_time_in_queue_ms,conf_set_time_in_queue_ms,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,avg_interactive_get_rt_ms,avg_get_think_time,conf_interactive_get_rt_ms,avg_queue_length,conf_queue_length,avg_get_service_time_ms,conf_get_service_time_ms,avg_set_service_time_ms,conf_set_service_time_ms,avg_get_time_in_queue_ms,conf_get_time_in_queue_ms,miss_rate,num_workers
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6814887621474097,0.740628,0.919936,1.28545,3.5820384,7.400113739999992,0.03209555028306614,2711.483333333333,95.3706313216053,2.549394209385187,3.221856099265061e-05,0,1.2582760153831338,0.003959181932171637,1.447197712566103,0.03207416355136595,0,0,0.1631955182833505,0.0011032264310637666,0.013297354666469972,16
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8143065883707026,0.78253,0.983138,1.449356,5.3121268000000015,8.23491982,0.005913031065297169,2946.7722222222224,10.113239418557809,2.681517705519599,3.3317170304985303e-05,0,1.4880594398013647,0.004321620867882306,1.5616864223472384,0.0058347848371789945,0,0,0.1796783150716698,0.0010223475287711517,0.014300015648006576,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4946388175679488,0.789231,0.943137,1.261049,1.8152225,6.2233050500000004,0.10430742224342808,400.7683615819209,17.25180544400159,2.461321261221383,3.388568588586896e-05,0,0.0,0.0,1.331069416685463,0.10429544167846244,0,0,0.07759605771399572,0.0007362957696658464,0.013462839742866809,32
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1314498516675817,0.7115275000000001,0.849635,1.115343,1.605463,6.086873000000002,0.005783244229751332,1018.5932203389831,9.3550570664376,1.9297318073336993,3.3760546693955875e-05,0,0.21955061539400192,0.0019107767693573327,0.9719113846836502,0.005686431332278538,0,0,0.08113015802785496,0.0008157611432395719,0.013245253506830625,32
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2778531043753178,0.683628,0.818932,1.0591914999999998,1.5470612,6.423427700000003,0.03182066870387323,1947.8813559322034,71.14202661609427,2.018670340274092,3.484282048292365e-05,0,0.7085374519614241,0.0029611391274575885,1.096585546800087,0.03179645995475012,0,0,0.10644375998839822,0.0009162752808858614,0.013388441737364948,32
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3001357065074353,0.706027,0.858933,1.133244,2.002977,6.6183084999999995,0.012503469117286354,2815.838888888889,45.84252854028478,2.0979541438667377,3.2849583461411737e-05,0,1.063868868760247,0.003434339662407042,1.0844936761967523,0.011838092628453426,0,0,0.1441078495336894,0.003969605662084846,0.013134037419281012,32
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5292618286963664,0.750133,0.930141,1.29395,3.5651475,7.242912050000001,0.004967858546754237,2923.366666666667,11.35419433964475,2.360207656621171,3.4291835972983967e-05,0,1.270264877253395,0.0038503913731182484,1.2880738617727656,0.004834044359552414,0,0,0.16682403167770796,0.0010841873060983072,0.013462408258362694,32
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818857666834376,0.7858305,0.987238,1.445657,5.321426200000001,8.262186999999992,0.0059132628705871,2948.2166666666667,9.834737558544083,2.6784089663054313,3.509580776703055e-05,0,1.5117858441732195,0.004394709161284749,1.5605285636345132,0.005820782985525534,0,0,0.18284182960697512,0.0010680760611440914,0.014272281360295019,32
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2352174918028707,0.794131,0.937737,1.2355235,1.7656372999999999,6.124269069999996,0.008805411602808505,454.20338983050846,4.48552074378414,2.1651657318954154,3.649110816727617e-05,0,0.0,0.0,1.0705707288230466,0.008740438538536075,0,0,0.07593710001990199,0.0006206382016694519,0.01344627708535463,64
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1604465116461062,0.722529,0.866833,1.141248,1.635669,6.124639,0.012705419572643421,993.8944444444444,14.43712732492023,1.9778984023566109,3.438772237159099e-05,0,0.2315973639051766,0.0019548441097867737,0.9980547561891774,0.01266024740051804,0,0,0.0826191808039083,0.0008531014048885212,0.013230781270087926,64
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2089355234480317,0.684829,0.821734,1.06904,1.58536,6.367140339999993,0.026494757958589955,2024.3107344632767,58.366863171976554,1.9420028307968398,3.3978391799677926e-05,0,0.6624002589986687,0.0028304659408961708,1.0289214984384725,0.02647144745568194,0,0,0.10491435682648488,0.0009059732891890997,0.013402064732921578,64
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.477331579684127,0.706228,0.857632,1.13644225,2.1048335,6.8977038999999944,0.03220438075739694,2659.299435028249,100.92777933222588,2.221856205510563,3.437711705856859e-05,0,1.0133249485867737,0.003460835896970582,1.2611324564156055,0.03215361320985441,0,0,0.1418076469271037,0.001668622816836683,0.013084878562809116,64
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6732494724000344,0.753929,0.933034,1.292148,3.5880394000000004,7.332285039999994,0.02476732763983562,2802.2429378531074,81.66068166764599,2.4631987441436136,3.480023568892553e-05,0,1.2829674373030482,0.003995947616482554,1.4388486916271679,0.024743478890829583,0,0,0.15882873458105592,0.0009995797424324536,0.013288386824920312,64
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8284656521063136,0.77973,0.974238,1.439456,5.387009,8.37731781999997,0.006012083256141996,2997.8474576271187,9.246214356415631,2.6323126703453887,3.626874117587195e-05,0,1.4921874263831487,0.004355600037827972,1.5664821420303454,0.005918790755705548,0,0,0.1838730739230974,0.0010853633653202124,0.014294625710726528,64
