num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
1,0,0,0,0,0,0,0,0,0,1.3041581920903955,1.234,1.2830000000000001,1.3390000000000002,1.4158,1.9025200000000027,0.02100192344147334,767.4124293785311,10.253334134636606,0.016689734377760765,0
2,0,0,0,0,0,0,0,0,0,1.3673192090395478,1.298,1.359,1.4227500000000002,1.4957000000000003,1.682769999999997,0.011937128556081086,1462.5480225988701,16.588601822805394,0.016761244017290466,0
3,0,0,0,0,0,0,0,0,0,1.3514934086629002,1.3079999999999998,1.348,1.397,1.446,1.5158,0.006449096684880614,2213.4745762711864,17.4193678575521,0.016700486236073356,0
4,0,0,0,0,0,0,0,0,0,1.387572033898305,1.3470000000000002,1.3800000000000001,1.4089999999999998,1.4386,1.8558199999999911,0.0066305744278781645,2875.768361581921,19.091104181641594,0.015704965118632015,0
6,0,0,0,0,0,0,0,0,0,2.0277269303201506,1.98925,2.026,2.064,2.104,2.199,0.003986789612641321,2951.107344632768,9.135035031428936,0.014810106710877464,0
