num_clients,avg_set_rt_ms,set_rt_ms_25,set_rt_ms_50,set_rt_ms_75,set_rt_ms_90,set_rt_ms_99,conf_set_rt_ms,avg_set_tp_s,conf_set_tp_s,avg_get_rt_ms,get_rt_ms_25,get_rt_ms_50,get_rt_ms_75,get_rt_ms_90,get_rt_ms_99,conf_get_rt_ms,avg_get_tp_s,conf_get_tp_s,miss_rate,num_workers
6,0.9483611111111111,0.8757499999999999,0.9339999999999999,1.03125,1.0932,1.1656300000000002,0.006151861591500009,6365.044444444445,48.86849458490577,0,0,0,0,0,0,0,0,0,0,0
12,1.3259314814814813,1.202,1.272,1.4480000000000002,1.569,1.7769999999999997,0.007215678873112147,9158.077777777778,56.28436200677003,0,0,0,0,0,0,0,0,0,0,0
24,2.1281087962962966,1.955,2.0460000000000003,2.34425,2.473,2.6194300000000013,0.006792711117790977,11382.766666666666,47.32464792147292,0,0,0,0,0,0,0,0,0,0,0
48,3.426571064814815,3.174,3.3035,3.749,3.9229999999999996,4.116,0.006928446930722326,14118.81111111111,53.80667246217924,0,0,0,0,0,0,0,0,0,0,0
96,5.729898611111111,5.428000000000001,5.6080000000000005,6.086,6.313,6.595,0.005781623309758763,16818.805555555555,35.268477583453404,0,0,0,0,0,0,0,0,0,0,0
144,8.198267978395062,7.9959999999999996,8.18,8.379000000000001,8.574,9.035,0.0036247034442726334,17579.911111111112,29.365935917151134,0,0,0,0,0,0,0,0,0,0,0
192,10.888399421296295,10.511,10.85,11.226999999999999,11.584000000000001,12.327,0.005681500389009635,17670.45,25.866625391652452,0,0,0,0,0,0,0,0,0,0,0
240,13.961012013888887,13.018,13.836,14.741999999999997,15.7701,18.054000000000002,0.01322442267296603,17355.144444444446,54.998466133302934,0,0,0,0,0,0,0,0,0,0,0
288,16.517913194444443,15.765999999999998,16.447999999999997,17.199,18.035,20.09183,0.010716455011808748,17528.794444444444,39.835551619001386,0,0,0,0,0,0,0,0,0,0,0
